tloc,numCoveredLines
0.02072539,7.0
0.02590674,1.0
0.03626943,6.0
0.03626943,6.0
0.03626943,6.0
0.05699482,10.0
0.03108808,5.0
0.04663212,9.0
0.03626943,6.0
0.03108808,6.0
0.05181347,10.0
0.03108808,4.0
0.05181347,3.0
0.03108808,5.0
0.02590674,4.0
0.01554404,3.0
0.01554404,3.0
0.02590674,4.0
0.01554404,2.0
0.03626943,7.0
0.02072539,4.0
0.005181347,7.0
0.02072539,4.0
0.02590674,4.0
0.05181347,24.0
0.04663212,1.0
0.03108808,6.0
0.03626943,0.0
0.04145078,8.0
0.03108808,6.0
0.03626943,5.0
0.06735751,11.0
0.005181347,3.0
0.04145078,7.0
0.04145078,7.0
0.005181347,3.0
0.005181347,1.0
0.005181347,3.0
0.005181347,2.0
0.005181347,4.0
0.04663212,10.0
0.04145078,7.0
0.005181347,6.0
0.02590674,5.0
0.02590674,4.0
0.01036269,0.0
0.02590674,2.0
0.05181347,9.0
0.04663212,8.0
0.01036269,0.0
0.02590674,2.0
0.05181347,11.0
0.04145078,7.0
0.02590674,4.0
0.01036269,0.0
0.02590674,2.0
0.07253886,14.0
0.07772021,14.0
0.02590674,2.0
0.03626943,7.0
0.06217617,11.0
0.05699482,11.0
0.02590674,2.0
0.03626943,7.0
0.01554404,2.0
0.02590674,2.0
0.04145078,9.0
0.01036269,0.0
0.02590674,2.0
0.02072539,3.0
0.02072539,3.0
0.02072539,3.0
0.02072539,3.0
0.06217617,13.0
0.05181347,10.0
0.02590674,6.0
0.02072539,5.0
0.0880829,17.0
0.05699482,11.0
0.07253886,14.0
0.08290155,16.0
0.06217617,12.0
0.05181347,10.0
0.05181347,12.0
0.02072539,4.0
0.08290155,17.0
0.05181347,10.0
0.02072539,4.0
0.1139896,23.0
0.03108808,6.0
0.03108808,5.0
0.03626943,8.0
0.02590674,6.0
0.02072539,5.0
0.03108808,7.0
0.01554404,4.0
0.02590674,4.0
0.02590674,4.0
0.02590674,4.0
0.02590674,4.0
0.03626943,4.0
0.03108808,4.0
0.03108808,5.0
0.03108808,4.0
0.03108808,4.0
0.02590674,4.0
0.03108808,4.0
0.04145078,7.0
0.04145078,2.0
0.04145078,2.0
0.04663212,8.0
0.04663212,14.0
