tloc,numCoveredLines
0.07772021,7.0
0.07772021,7.0
0.07772021,7.0
0.07772021,7.0
0.05181347,7.0
0.03108808,3.0
0.03108808,2.0
0.05181347,7.0
0.03108808,7.0
0.02590674,6.0
0.03108808,6.0
0.03626943,7.0
0.04663212,10.0
0.03108808,3.0
0.03108808,3.0
0.03108808,2.0
0.02590674,0.0
0.02590674,3.0
0.03626943,4.0
0.03108808,3.0
0.04663212,10.0
0.03108808,3.0
0.03108808,4.0
0.07253886,6.0
0.1398964,13.0
0.09326425,13.0
0.06217617,3.0
0.0880829,3.0
0.06735751,4.0
0.1036269,11.0
0.06735751,4.0
0.06735751,4.0
0.1139896,7.0
0.06735751,4.0
0.1036269,11.0
0.0984456,10.0
0.1243523,16.0
0.1088083,13.0
0.1243523,16.0
0.1088083,13.0
0.06217617,4.0
0.06735751,4.0
0.06735751,4.0
0.09326425,9.0
0.0880829,8.0
0.07772021,6.0
0.1917098,28.0
0.08290155,7.0
0.08290155,7.0
0.08290155,7.0
0.07772021,6.0
0.1865285,6.0
0.1036269,13.0
0.07772021,6.0
0.0984456,10.0
0.08290155,7.0
0.08290155,7.0
0.134715,17.0
0.0880829,8.0
0.08290155,6.0
0.08290155,7.0
0.0984456,10.0
0.0984456,10.0
0.0880829,8.0
0.0880829,9.0
0.07772021,6.0
0.07772021,6.0
0.1036269,5.0
0.1036269,5.0
0.07253886,6.0
0.134715,17.0
0.0880829,9.0
0.0880829,9.0
0.0880829,9.0
0.1243523,16.0
0.1088083,13.0
0.1243523,16.0
0.07772021,6.0
0.07772021,6.0
0.1088083,13.0
0.0984456,10.0
0.1088083,13.0
0.0984456,10.0
0.1243523,16.0
0.1088083,13.0
0.1243523,16.0
0.1088083,13.0
0.03108808,1.0
0.03108808,1.0
0.07772021,7.0
0.07772021,7.0
0.06735751,4.0
0.06735751,4.0
0.06735751,4.0
0.06735751,4.0
0.02590674,0.0
0.05699482,0.0
0.06217617,3.0
0.06217617,3.0
0.02590674,0.0
0.07253886,5.0
0.07253886,6.0
0.06735751,6.0
0.09326425,9.0
0.09326425,10.0
0.0984456,10.0
0.0984456,10.0
0.0984456,11.0
0.08290155,7.0
0.1139896,13.0
0.1088083,12.0
0.1036269,11.0
0.1139896,13.0
0.1865285,20.0
0.09326425,9.0
0.1036269,11.0
0.0880829,8.0
0.09326425,9.0
0.09326425,9.0
0.08290155,7.0
0.0984456,11.0
0.1243523,16.0
0.1088083,13.0
0.1088083,12.0
0.1243523,16.0
0.1243523,16.0
0.1088083,13.0
0.0984456,10.0
0.0984456,10.0
0.1243523,16.0
0.1088083,13.0
0.1243523,16.0
0.1088083,13.0
0.1036269,5.0
0.1295337,10.0
0.1139896,8.0
0.1036269,5.0
0.07772021,7.0
0.07772021,7.0
0.07772021,7.0
0.07772021,7.0
0.09326425,8.0
0.1761658,6.0
0.1813472,5.0
0.1036269,11.0
0.09326425,8.0
0.1088083,7.0
0.0880829,8.0
0.07253886,6.0
0.06735751,4.0
0.04663212,5.0
0.04663212,5.0
0.06217617,3.0
0.0984456,10.0
0.0984456,10.0
0.1295337,12.0
0.1243523,11.0
0.134715,13.0
0.1295337,12.0
0.07772021,7.0
0.04663212,5.0
